SKU编码,SKU名称,站点,平台,ABCD类,分层,混合水平月销量,系统预测月销量,实际月销量,偏差数量,偏差率,绝对偏差率APE
DJ505770_1,US DC 高架床 BBC-01 BD173 新长短边储物双床 双T 黑色 一件两箱,ALL,UNKNOWN,B,T4B,7.75,3.72,9,-5.28,-0.5867,0.5867
SFDJ503915_1,US HS 抽屉柜 DDBT-02 1x5+2 底座 无把手 一件一箱 颜色->黑色,ALL,TIKTOK,C,T4B,11.51,5.53,9,-3.47,-0.3859,0.3859
DJ502919_1,US TA 双抽双顶咖啡桌 颜色->火烧云,ALL,TEMU,C,T4B,18.86,9.06,8,1.06,0.1319,0.1319
DJ503917_3,US 玻璃门L桌高桌带布兜款 一件一箱 颜色->黑色,ALL,UNKNOWN,B,T4B,15.02,7.21,8,-0.79,-0.0991,0.0991
DJ504377_1,"US AG 大镜面柔光灯箱书桌 含排插 一件一箱 尺码->#1,白色",ALL,AMAZON,C,T4B,27.41,14.73,8,6.73,0.8418,0.8418
DJ504490_1,"US UA 梯形柜门置物现代板式行政桌 一件一箱 浮雕黑 颜色->黑色,浮雕黑",ALL,WALMART,C,T4B,12.95,6.21,8,-1.79,-0.2235,0.2235
DJ504493_1,US UA 厚抽底菱形拼色单列五斗柜 一件一箱 颜色->黑色,ALL,UNKNOWN,C,T4B,9.67,5.20,8,-2.80,-0.3502,0.3502
DJ504808_1,US AG 乡村风长虹玻璃LED书桌 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,18.28,8.78,8,0.78,0.0970,0.0970
DJ505078_2,US UA OTS-TC01 带推车侧架马桶柜三七分铣槽门板 一件一箱 颜色->黑色,ALL,WALMART,B,T4B,4.12,1.98,8,-6.02,-0.7528,0.7528
DJ505086_2,US DC PU床 双侧LED USB款 K 黑色 HQ一件一箱,ALL,WALMART,C,T4B,20.97,10.07,8,2.07,0.2582,0.2582
DJ505224_3,US 593款 F尺寸上床下桌8抽带灯带插排 一件两箱 颜色->灰色,ALL,UNKNOWN,C,T4B,9.23,3.77,8,-4.23,-0.5292,0.5292
DJ505246_5,US UA DK-XZ04 双拼色行政电脑桌一件两箱 颜色->#5，复古色（原3789 旧洞洞板）,ALL,UNKNOWN,C,T4B,7.43,3.99,8,-4.01,-0.5009,0.5009
DJ505319_1,US UA MV-HM01 弧面错层梳妆台五抽两柜 一件一箱 颜色->白色,ALL,WALMART,C,T4B,4.21,2.02,8,-5.98,-0.7477,0.7477
