SKU编码,SKU名称,站点,平台,ABCD类,分层,混合水平月销量,系统预测月销量,实际月销量,偏差数量,偏差率,绝对偏差率APE
DJ504794_1,EU AG 铁木软包床 3置物层 欧标USB排插 灯带 1.4*1.9m 一件一箱 颜色->黑色,ALL,AMAZON,C,T4B,17.94,8.61,80,-71.39,-0.8924,0.8924
DJ504842_1,US 板材双抽波浪板高文件柜 一件一箱 颜色->原木色,ALL,AMAZON,C,T4A,61.67,28.61,80,-51.39,-0.6423,0.6423
DJ505032_3,US R124款 屋顶书架低阁楼床 带灯带床头置物袋侧边挂袋，一件一箱 颜色->粉色,ALL,UNKNOWN,B,T4B,28.55,13.70,80,-66.30,-0.8287,0.8287
DJ505107_2,US L桌美式纯板材高桌  一件两箱  颜色->灰色,ALL,AMAZON,C,T4A,87.13,40.43,80,-39.57,-0.4947,0.4947
DJ505463_1,UK DC 悬浮床BXF-Q01 602 HQ 灰色麻布+火烧色 一件一箱90*190,ALL,AMAZON,C,T4B,31.19,16.76,80,-63.24,-0.7904,0.7904
DJ505729_3,US SD X单人三铁木款升降桌 一件一箱 颜色->原木纹+白,ALL,AMAZON,C,T4B,7.31,3.51,80,-76.49,-0.9562,0.9562
DJVN000092_1,"US WIN 空心板腿沙发桌 一件一箱 颜色->#2,原木色：大通/元素DS66122",ALL,AMAZON,D,T4B,31.42,16.90,80,-63.11,-0.7888,0.7888
DJ503056,US DC 木质镜柜三开门 70*16*60 白色 一件一箱,ALL,AMAZON,C,T4A,120.91,47.69,79,-31.31,-0.3964,0.3964
DJ503860_4,"EU BW铁木床DIW-01 床头一层盖板+灯带+插排 HQ 黑色+火烧色  一件一箱 ,160*200",ALL,AMAZON,C,T4B,56.19,26.97,79,-52.03,-0.6586,0.6586
DJ504021_1,US AG 玻璃桌面灯带边桌 含插座  一件一箱 颜色->黑色,ALL,AMAZON,C,T4B,96.32,39.30,79,-39.70,-0.5025,0.5025
DJ504891_1,"US SJ02款 T尺寸两布抽铁床 一件一箱,重量不超22kg 颜色->黑色",ALL,AMAZON,B,T3,97.64,94.97,79,15.97,0.2022,0.2022
DJ505100_1,US 弧面带柜体三抽老板桌 一件一箱 颜色->复古灰+黑,ALL,AMAZON,C,T4A,79.17,36.74,79,-42.27,-0.5350,0.5350
DJ505100_3,US 弧面带柜体三抽老板桌 一件一箱 颜色->192-1+黑,ALL,AMAZON,C,T4B,49.96,23.98,79,-55.02,-0.6965,0.6965
DJ505295_3,US SD 80cm转角升降桌 一件一箱  颜色->白麻,ALL,AMAZON,C,T4A,62.97,29.22,79,-49.78,-0.6302,0.6302
DJ505579_2,US 八抽上床下桌带洞洞板  一件两箱  颜色->白色,ALL,AMAZON,B,T4B,38.85,19.77,79,-59.23,-0.7498,0.7498
DJ505635_2,EU AG软包床 棉麻气杆 1灯带 欧标插排2AC+1U1T 0.9*2m 一件两箱  颜色->深灰色,ALL,AMAZON,C,T4B,12.40,5.95,79,-73.05,-0.9247,0.9247
DJ505659_2,US SD 1.9M五抽单人桌  一件一箱  颜色->黑色,ALL,AMAZON,C,T4B,59.92,32.22,79,-46.78,-0.5922,0.5922
DJ505673_1,US RL-597款 F尺寸5抽上下床带桌子含灯带插排，带侧袋和桌边布袋 一件两箱 颜色->火烧云,ALL,AMAZON,B,T4B,57.74,31.04,79,-47.96,-0.6070,0.6070
DJ505879_2,US 吸塑竖条升降可直排L桌 一件两箱 颜色->黑麻,ALL,AMAZON,C,T4B,32.55,15.62,79,-63.38,-0.8022,0.8022
100103901,US DC 铁木床 CBF-02GL 方管铁木角落床带抽篮-113G T 粉 一件一箱,ALL,AMAZON,D,T4B,12.18,5.85,78,-72.15,-0.9250,0.9250
DJ504068_6,"EU BW悬浮床BXF-Q01床头两层+灯带+插排HQ602灰色麻布+火烧色一件两箱,180*200",ALL,AMAZON,B,T3,129.40,135.87,78,57.87,0.7419,0.7419
DJ504173_26,"EU KM 铁木-带床头-悬浮床 一箱一个 尺码->XL,140*200;颜色->白色,原木白",ALL,AMAZON,C,T4B,22.13,11.26,78,-66.74,-0.8557,0.8557
DJ504688_1,UK AG 悬浮床 软包床头 铁框架 英标排插 灯带 床垫135*190cm 一件一箱 颜色->深灰色,ALL,UNKNOWN,C,T4B,12.84,6.17,78,-71.83,-0.9210,0.9210
DJ504777_5,US UA 窄款拱顶书柜 一件一箱 颜色->咖啡胡桃浮雕+H65074K,ALL,AMAZON,D,T4B,12.62,6.06,78,-71.94,-0.9223,0.9223
DJ504790_1,EU AG 铁木软包床 方块软包 欧标USB排插 灯带 1.6*2m 一件一箱 颜色->深灰色,ALL,AMAZON,C,T4B,47.93,23.01,78,-54.99,-0.7051,0.7051
DJ505177_4,US AG 6布抽2小翻盖角落床 F 一件两箱 颜色->粉色,ALL,AMAZON,B,T4A,60.31,27.98,78,-50.02,-0.6412,0.6412
DJ505307_1,US HS 梳妆台 VDNX-01 改 MFL 错落布局 六抽一门好莱坞灯串 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,58.61,29.82,78,-48.18,-0.6177,0.6177
DJ505458_3,US SD X1.4米6抽升降桌 一件一箱 颜色->原木色+白色PU,ALL,AMAZON,C,T4B,35.07,14.31,78,-63.69,-0.8165,0.8165
DJVN000173_1,"US PIX Q折叠床垫 一件一箱 颜色->#3,LHA12513/75783",ALL,AMAZON,D,T4B,11.96,5.74,78,-72.26,-0.9264,0.9264
DJ504647_1,UK DC 悬浮床BXF-Q01 602 HQ 灰色麻布+火烧色 一件两箱135*190,ALL,AMAZON,C,T4B,49.88,25.38,77,-51.62,-0.6704,0.6704
DJ504891_3,"US SJ02款 T尺寸两布抽铁床 一件一箱,重量不超22kg 颜色->粉色",ALL,AMAZON,B,T3,113.64,114.09,77,37.09,0.4816,0.4816
DJ504975_1,EU AG 板式床 软包掀盖靠背 4抽 欧洲床垫1.4*1.9m 一件两箱 颜色->白色,ALL,AMAZON,C,T4B,56.45,30.35,77,-46.65,-0.6059,0.6059
DJ505178_1,US 双顶带软包凳咖啡桌 一件一箱 颜色->白+棕,ALL,AMAZON,C,T4B,26.96,11.00,77,-66.00,-0.8571,0.8571
DJ505246_3,"US UA DK-XZ04 双拼色行政电脑桌一件两箱 颜色->#3,风轻云扬灰（原4071新洞洞板）",ALL,UNKNOWN,C,T4B,29.84,15.18,77,-61.82,-0.8028,0.8028
DJ505279_2,US 床BJS-543T 落地双层床+储物台阶 一件一箱 99*190 颜色->#2 纯白,ALL,AMAZON,A,T3,149.33,156.79,77,79.79,1.0363,1.0363
DJ505294_3,US 洞洞板升降L桌带柜体 一件两箱 颜色->棕顶+白,ALL,AMAZON,C,T4B,56.41,27.08,77,-49.92,-0.6483,0.6483
DJ505329_3,US ER DK-TM01 双侧储物行政电脑桌 一件两箱 颜色->#3 灰色（复古灰7201）+黑麻色,ALL,AMAZON,D,T4B,36.54,17.54,77,-59.46,-0.7723,0.7723
DJ505534_3,US SD L桌五抽带两组亚克力门  一件一箱 颜色->白麻,ALL,AMAZON,C,T4B,31.22,14.99,77,-62.01,-0.8054,0.8054
DJ502459_1_WF,"US TP 书桌 五抽圆镜三色灯带压床头柜 颜色->#1,白+原木色",ALL,UNKNOWN,B,T4B,77.63,31.67,76,-44.33,-0.5833,0.5833
DJ503465,EU BW 折叠床床面铁管拆装简易款 黑色 4英寸床垫 一件一箱,ALL,AMAZON,A,T3,201.73,181.55,76,105.55,1.3889,1.3889
DJ504285_3,US TS05 五抽悬浮电视柜带电视支架 颜色->火烧云,ALL,AMAZON,C,T4A,72.71,33.74,76,-42.26,-0.5561,0.5561
DJ504532_1,EU VD 角落气杆软包床 2层置物 欧标床垫1.4*2m 一件两箱 颜色->深灰色,ALL,UNKNOWN,B,T4B,24.51,12.47,76,-63.53,-0.8359,0.8359
DJ504983_2,US 1m农舍板材电脑桌 一件一箱 颜色->黑麻,ALL,AMAZON,C,T4B,74.71,30.48,76,-45.52,-0.5989,0.5989
DJ505171_2,US AG 翻盖布抽角落床 F 一件两箱 颜色->灰色,ALL,UNKNOWN,B,T4B,35.77,18.20,76,-57.80,-0.7605,0.7605
DJ505317_3,US BF WD03 写字桌带文件柜十字玻璃门带插排灯带，一件两箱 颜色->黑色,ALL,UNKNOWN,A,T4B,52.05,24.99,76,-51.01,-0.6712,0.6712
DJ505355_1,EU BW 悬浮床BXF-Q01床头两层+灯带+插排HQ602灰色麻布+火烧色 一件一箱90*190,ALL,AMAZON,C,T4B,19.84,10.67,76,-65.33,-0.8596,0.8596
DJ505505_2,UK AG JYH213A 棉麻软包气杆床 圆弧掀盖靠背 双灯带 135*190cm 一件两箱 颜色->米白,ALL,AMAZON,C,T4B,13.95,6.70,76,-69.30,-0.9119,0.9119
DJ505572_1,US DC 高架床 LB-11  YL   六抽门架款   一件两箱 颜色->黑色,ALL,UNKNOWN,B,T4B,42.23,22.70,76,-53.30,-0.7013,0.7013
DJVN000163_1,"US QZ 卧室书桌，一件一箱 尺码->#1,原橡木色",ALL,AMAZON,D,T4B,42.07,20.19,76,-55.81,-0.7343,0.7343
DJ502529_19,"US AE 书柜 两抽托盘带灯无线充插排 颜色->#3,灰木纹",ALL,AMAZON,B,T3,137.81,113.00,75,38.00,0.5067,0.5067
DJ502566_3,US SD 双抽文件柜带排插 一件一箱 颜色->灰色,ALL,AMAZON,C,T4A,95.02,44.09,75,-30.91,-0.4122,0.4122
DJ503122_6,US TA 谷仓门双顶咖啡桌 一件一箱 颜色->白G42014K+仿古樱桃,ALL,AMAZON,C,T4B,16.39,7.86,75,-67.14,-0.8951,0.8951
DJ503877_2,US 双抽美式文件柜 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,114.85,46.86,75,-28.14,-0.3752,0.3752
DJ504512_1,EU FR 拼色浴室高柜一抽+上下单开门 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,44.01,23.66,75,-51.34,-0.6845,0.6845
DJ504625_3,US 6抽错层亚克力柜门L高桌 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,18.82,9.03,75,-65.97,-0.8796,0.8796
DJ505050_3,EU BW铁木软包床LIWS-01 床头两层板+灯带+插排HQ 黑色+火烧色 一件一箱 140*190,ALL,AMAZON,D,T4B,41.41,19.87,75,-55.13,-0.7350,0.7350
DJ505124_2_WF,US 美式升降可直排L桌 一件两箱 颜色->棕+黑,ALL,UNKNOWN,C,T4B,36.54,17.54,75,-57.46,-0.7662,0.7662
DJ505176_1,US AG 6布抽2小翻盖角落床 T 一件一箱 颜色->火烧云,ALL,UNKNOWN,B,T4B,18.87,10.15,75,-64.85,-0.8647,0.8647
DJ505196_3,US 床YL545 F板式5抽布抽床+集成书柜 一件两箱  颜色->#2黑铁+灰板,ALL,UNKNOWN,B,T4B,45.99,18.76,75,-56.24,-0.7498,0.7498
DJ505254_1,US AG 板式床 乡村风拼框 掀盖靠背 4抽 F款 一件两箱 颜色->白色,ALL,UNKNOWN,B,T4B,48.90,19.95,75,-55.05,-0.7340,0.7340
DJ505313_3,EU DC软包床 140x190 BCR-01下翻门+灯带+插排HQ611白色麻面+原木 一件两箱,ALL,AMAZON,C,T4B,15.72,7.55,75,-67.45,-0.8994,0.8994
DJ505498_2,EU AG 布抽软包靠背角落床 90*200 一件两箱 颜色->白色,ALL,AMAZON,C,T4B,19.26,9.25,75,-65.75,-0.8767,0.8767
DJ503139_2,US SD 1.6米双抽单人桌带排插  一件一箱 颜色->火烧云,ALL,AMAZON,C,T4B,73.00,29.78,74,-44.22,-0.5975,0.5975
DJ504216_2,"US HA 书桌 VT03 11抽铁木无纺布菱形格双列置物架款 颜色->#2,黑色麻面+黑皮",ALL,AMAZON,C,T4A,65.69,30.48,74,-43.52,-0.5881,0.5881
DJ504287_1,US TA 1.2米4抽2玻璃门铁木厨房置物架 一件一箱 颜色->火烧云,ALL,AMAZON,C,T4A,73.39,34.05,74,-39.95,-0.5398,0.5398
DJ504514,EU BW铁木床LIWS-02 高床头储物+倾斜靠背+灯带插排 ZY火烧色一件两箱 180*200,ALL,AMAZON,C,T4B,40.21,16.41,74,-57.59,-0.7783,0.7783
DJ504888_1,US SD L桌X字升降桌带文件柜 一件两箱 颜色->棕+白色,ALL,AMAZON,C,T4B,67.84,36.47,74,-37.53,-0.5071,0.5071
DJ504983_3,US 1m农舍板材电脑桌 一件一箱 颜色->浅灰色,ALL,AMAZON,C,T4B,52.87,21.57,74,-52.43,-0.7085,0.7085
DJ505079_3,US UA BK-GD01 高款拱顶书柜带推车 一件一箱 颜色->棕色G29024I,ALL,AMAZON,C,T4B,39.19,18.81,74,-55.19,-0.7458,0.7458
DJ505115_2,US 1.2米美式单人高桌  一件两箱 颜色->灰色,ALL,AMAZON,C,T4B,59.15,24.14,74,-49.86,-0.6738,0.6738
DJ505248_1,"US UA DK-XZ06 超大文件抽行政电脑桌一件两箱 颜色->#1,复古色",ALL,AMAZON,C,T4A,66.18,30.71,74,-43.29,-0.5850,0.5850
DJ505358_1,EU FR镜柜 大小门弧角双灯带80*60cm 欧标2AC+1U1T 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,42.41,22.80,74,-51.20,-0.6919,0.6919
DJ505360_1,EU FR镜柜 大小门单灯带 1层开放格有挂篮80*70cm 欧标2AC+1U1T 一件一箱 颜色->白色,ALL,AMAZON,C,T4B,26.86,14.44,74,-59.56,-0.8049,0.8049
DJ505437_1,US DC 现代农舍 BFMH-01床下六抽屉 Q 黑色 一件两箱,ALL,UNKNOWN,C,T4B,2.88,1.38,74,-72.62,-0.9813,0.9813
DJ505575_1,UK DC 悬浮床 BXF-02L 床头槽灯菱形扣款-HQ108 135*190 灰色麻布,ALL,AMAZON,C,T4B,23.03,11.05,74,-62.95,-0.8506,0.8506
DJ505738_1,US DC 铁木床 SCB-01L 铁麻布层架布兜PU面布抽角落床-172 T 黑色 一件一箱,ALL,AMAZON,C,T4B,26.79,12.86,74,-61.14,-0.8262,0.8262
DJ505879_1,US 吸塑竖条升降可直排L桌 一件两箱 颜色->261833-14咖啡胡桃零度,ALL,AMAZON,C,T4B,42.74,20.51,74,-53.49,-0.7228,0.7228
DJVN000040_3,"US AE 书柜 NT27 抽屉2个+空格 2件1箱小麻点款 二件一箱 颜色->#2,白色小麻点",ALL,UNKNOWN,C,T4B,34.87,18.75,74,-55.25,-0.7467,0.7467
DJ502410,VD 竹制置物架 大款+6层 原色 一个一箱,ALL,AMAZON,C,T4A,103.49,48.02,73,-24.98,-0.3422,0.3422
DJ502691,US DC 宽浴室柜 H160cm 上三层架中抽屉下柜子 白色 一件一箱,ALL,AMAZON,C,T4A,82.31,32.47,73,-40.53,-0.5553,0.5553
DJ503079_2,"US BF 书柜 板材美式+托盘含插盘（大款）加RGB灯带 一件一箱 颜色->#2,白色小麻",ALL,TIKTOK,C,T4B,19.71,9.46,73,-63.54,-0.8704,0.8704
DJ503416_2,US PT 美式四抽侧边置物床Q  一件两箱 颜色->白色PU,ALL,TEMU,B,T4B,103.46,42.21,73,-30.79,-0.4218,0.4218
DJ504048_2,"EU DC气动床BQD-01床头两层+灯带+插排HQ603灰色麻布+火烧色 一件两箱,140*190",ALL,AMAZON,C,T4B,53.20,27.07,73,-45.93,-0.6292,0.6292
DJ504283_1,US AG 绒布软包皇冠公主床 T 一件一箱 颜色->粉色,ALL,AMAZON,C,T4A,112.27,44.28,73,-28.72,-0.3934,0.3934
DJ504317_1,"US UA一型行政电脑桌 一件一箱 麻面黑+胡桃色 颜色->#1,麻面黑+胡桃色",ALL,AMAZON,C,T4B,86.60,41.57,73,-31.43,-0.4305,0.4305
DJ504345_1,EU BW铁木床LIWS-02 高床头储物+倾斜靠背+灯带插排 ZY 火烧色 一件一箱 90*200,ALL,AMAZON,C,T4B,37.18,15.17,73,-57.83,-0.7922,0.7922
DJ504354_2,US TA 双顶布抽层架带灯咖啡桌 一件一箱 颜色->黑+棕,ALL,AMAZON,B,T3,98.29,93.96,73,20.96,0.2871,0.2871
DJ504809_1,US VD33 书桌 大镜子7抽波浪纹抽面透明玻璃门 一件一箱 颜色->棕色,ALL,AMAZON,C,T4B,27.66,14.87,73,-58.13,-0.7963,0.7963
DJ504873_1,US UA SB--CC01 150cm长款带除臭换鞋凳 一个一箱 颜色-麻面白+灰色软包 颜色->白色,ALL,AMAZON,C,T4B,37.97,18.22,73,-54.78,-0.7503,0.7503
DJ505154_2,US DC 高架床 LBCD-01 2508 L型电脑桌款  一件两箱 颜色 白色,ALL,AMAZON,C,T4B,37.95,18.22,73,-54.78,-0.7505,0.7505
DJ505193_1,US AG 折叠储物沙发床架 左右互换+无纺布抽 T 一件两箱 颜色->白色,ALL,UNKNOWN,B,T4B,61.78,29.65,73,-43.35,-0.5938,0.5938
DJ505207_2,US 竖条纹吸塑错层板材L桌 一件两箱 颜色->黑色,ALL,AMAZON,C,T4B,60.45,30.76,73,-42.24,-0.5787,0.5787
DJ505291,US HS 梳妆台-VDFX-01错层款滑动镜 一件两箱 颜色->白色,ALL,AMAZON,C,T4A,66.30,30.76,73,-42.24,-0.5786,0.5786
DJ505427_2,EU DC 软包双灯款气动床BQQ-02 ZY 93款  灰色 一件两箱 140*190,ALL,AMAZON,C,T4B,12.84,6.17,73,-66.83,-0.9155,0.9155
DJ505575_2,UK DC 悬浮床 BXF-02L 床头槽灯菱形扣款-HQ108 150*200 灰色麻布,ALL,AMAZON,C,T4B,13.51,6.48,73,-66.52,-0.9112,0.9112
DJ505659_1,US SD 1.9M五抽单人桌  一件一箱  颜色->火烧云,ALL,AMAZON,C,T4B,42.00,22.58,73,-50.42,-0.6907,0.6907
DJ505659_4,US SD 1.9M五抽单人桌  一件一箱  颜色->989-3灰色,ALL,AMAZON,C,T4B,63.57,34.17,73,-38.83,-0.5319,0.5319
DJ505670_1,US SD L桌带抽屉六抽款 一件一箱 颜色->黑色,ALL,AMAZON,C,T4B,25.91,12.43,73,-60.57,-0.8297,0.8297
DJVN000209_1,"US WIN 双门八字胡书柜 一件一箱 颜色->#1,浮雕山纹黑大通元素DS6607/A05014K",ALL,AMAZON,D,T4B,4.87,2.34,73,-70.66,-0.9680,0.9680
DJ502416,VD 竹制门厅架 储物盒+软包 原色 一个一箱,ALL,AMAZON,C,T4B,78.15,31.89,72,-40.11,-0.5571,0.5571
DJ504019_1,US TA 100*80双抽谷仓门升降咖啡桌 一件一箱 颜色->白+棕,ALL,UNKNOWN,B,T4B,16.23,8.26,72,-63.74,-0.8853,0.8853
DJ504625_4,US 6抽错层亚克力柜门L高桌 一件一箱 颜色->989-3浅灰色,ALL,AMAZON,C,T4B,25.02,12.01,72,-59.99,-0.8332,0.8332
DJ504660_1,US DC 高架床 TB-01  YL 床尾二抽 三T床上桌款 一件两箱 颜色->黑色,ALL,UNKNOWN,B,T4B,46.74,25.13,72,-46.87,-0.6510,0.6510
DJ504852_1,US AG 绒布皇冠公主床 尾两抽 F 颜色->粉色,ALL,AMAZON,C,T4B,20.32,9.75,72,-62.25,-0.8645,0.8645
DJ505176_2,US AG 6布抽2小翻盖角落床 T 一件一箱 颜色->灰色,ALL,UNKNOWN,B,T4B,35.36,19.01,72,-52.99,-0.7360,0.7360
DJ505226_1,US 595款 F尺寸上床下桌6抽U形桌面带灯带插排 一件两箱 颜色->火烧云,ALL,UNKNOWN,A,T4B,76.55,31.23,72,-40.77,-0.5663,0.5663
DJ505255_2,US AG 板式床 乡村风拼框 掀盖靠背 4抽 Q款 一件两箱 颜色->灰色,ALL,AMAZON,B,T4B,34.10,16.37,72,-55.63,-0.7727,0.7727
DJ505309_2,US HS 抽屉柜 DDB-06 2x4 底座 无把手 DFS 一件两箱 颜色->白色,ALL,TIKTOK,C,T4B,76.39,41.07,72,-30.93,-0.4296,0.4296
DJ505329_1,"US ER DK-TM01 双侧储物行政电脑桌 一件两箱 颜色->#1,胡桃木色+黑麻",ALL,AMAZON,D,T4A,63.74,29.57,72,-42.43,-0.5893,0.5893
DJ505384_3,US GSI-922T 儿童双层床+书柜 99*190 一件一箱  颜色->粉色,ALL,AMAZON,B,T4B,26.74,12.84,72,-59.16,-0.8217,0.8217
DJ505405_1,"US UA DK-NS01 农舍风灯柜板式电脑桌 一件两箱 颜色->#1,白色+胡桃色",ALL,AMAZON,C,T4B,33.62,17.11,72,-54.89,-0.7624,0.7624
DJ505426_1,EU AG灯芯绒床 围环绕灯带 0.9*2m气杆床 2AC+1U1T插孔 一件两箱 颜色->米白,ALL,AMAZON,C,T4B,16.61,7.97,72,-64.03,-0.8893,0.8893
DJ505658_1,US SD 1.7米五抽单人桌  一件一箱   颜色->火烧云,ALL,AMAZON,C,T4B,48.05,23.06,72,-48.94,-0.6797,0.6797
DJ505758_3,US SR RWD-02 1×4+2 6抽抽屉柜辐射松贴实木皮油漆 一件一箱 颜色->棕色,ALL,AMAZON,C,T4B,25.91,12.43,72,-59.57,-0.8273,0.8273
DJ505844_3,US UA BD-WD 带屋顶T尺寸儿童床 一件一箱  颜色->黑色,ALL,AMAZON,C,T4B,16.16,7.76,72,-64.24,-0.8922,0.8922
DJ505885_2,US SD 2.5米美式双人升降桌 一件两箱 颜色->棕+黑,ALL,AMAZON,C,T4B,12.62,6.06,72,-65.94,-0.9159,0.9159
SKDJVN000013_4,US AE 书柜（Vietnam）2抽屉板材带双灯 加高款 颜色->#4,ALL,TIKTOK,C,T4B,47.84,22.96,72,-49.04,-0.6810,0.6810
DJ502650_3,"US TP 铁木梳妆台 带玻璃门五抽灯泡插排款 颜色->白色,白色铁件",ALL,UNKNOWN,C,T4B,39.15,15.70,71,-55.30,-0.7789,0.7789
DJ504068_5,"EU BW悬浮床BXF-Q01床头两层+灯带+插排HQ602灰色麻布+火烧色一件两箱,160*200",ALL,AMAZON,C,T4B,48.23,19.68,71,-51.32,-0.7229,0.7229
DJ504570_3,"EU KM 铁木床拐角床头软包带柜门 90*190 一件两箱 颜色->黑色,小浮雕黑板灰色床头",ALL,AMAZON,C,T4B,51.44,24.69,71,-46.31,-0.6522,0.6522
DJ504620_2,"EU KM 软包床-床头斜线绗缝 单包装 基础款 尺码->XL,140*200;颜色>白色,PU-白",ALL,AMAZON,C,T4B,22.94,9.36,71,-61.64,-0.8681,0.8681
DJ504809_2,"US VD33 书桌 大镜子7抽波浪纹抽面透明玻璃门 一件一箱 颜色->#1,原木色",ALL,UNKNOWN,C,T4B,6.93,3.73,71,-67.27,-0.9475,0.9475
DJ504910_4,US DC 铁木床 CBF-01L 方管软包角落床带抽篮-112 米白 Q一件一箱,ALL,AMAZON,C,T4A,68.64,31.85,71,-39.15,-0.5514,0.5514
DJ505051_6,EU BW铁木软包床LIWS-01 床头两层板+灯带+插排HQ 白色+原木色 一件一箱180*200,ALL,AMAZON,C,T4B,28.45,15.29,71,-55.71,-0.7846,0.7846
DJ505126_1,US SD L桌升降高桌带书架  一件两箱 颜色 颜色->火烧云,ALL,AMAZON,C,T4A,65.77,30.52,71,-40.48,-0.5702,0.5702
DJ505147_2,US 床BJS-543F 落地双层床+储物台阶  137*190 一件两箱 颜色->#2 火烧云,ALL,AMAZON,B,T4B,53.31,28.66,71,-42.34,-0.5963,0.5963
DJ505168_3_WF,"US 594款 T尺寸上床下桌8抽带灯带插排 一件一箱,箱规不超49kg 颜色->灰色",ALL,UNKNOWN,D,T4B,59.29,28.46,71,-42.54,-0.5991,0.5991
DJ505226_2,US 595款 F尺寸上床下桌6抽U形桌面带灯带插排 一件两箱 颜色->白色,ALL,TIKTOK,A,T4B,26.60,14.30,71,-56.70,-0.7985,0.7985
DJ505248_2,"US UA DK-XZ06 超大文件抽行政电脑桌一件两箱 颜色->#2,胡桃色",ALL,UNKNOWN,C,T4B,59.21,31.83,71,-39.17,-0.5517,0.5517
DJ505256_2,US VD 板式床 掀盖软包靠背 双灯带 4抽 F款 一件两箱 颜色->白色,ALL,UNKNOWN,C,T4B,41.17,19.76,71,-51.24,-0.7217,0.7217
DJ505518_1,UK BW 床头柜 窄柜 NSQL-01+感应灯+插排 DFS 白色 一件一箱,ALL,AMAZON,C,T4B,9.74,4.68,71,-66.32,-0.9341,0.9341
DJ505535_2,US 床YW-43F上床下电竞桌3抽储物柜含灯带137*190 一件两箱 颜色白色铁+白板,ALL,AMAZON,B,T4B,43.23,21.99,71,-49.01,-0.6902,0.6902
DJ505645_1,US VD 板式床 乡村风 3灯带 2柜门 4抽 F 一件两箱 颜色->白色,ALL,AMAZON,C,T4B,8.19,3.93,71,-67.07,-0.9446,0.9446
DJ505646_1,US VD 板式床 乡村风 3灯带 2柜门 4抽 Q 一件两箱 颜色->白色,ALL,AMAZON,C,T4B,15.72,7.55,71,-63.45,-0.8937,0.8937
DJ505646_2,US VD 板式床 乡村风 3灯带 2柜门 4抽 Q 一件两箱 颜色->灰色,ALL,AMAZON,C,T4B,16.83,8.08,71,-62.92,-0.8862,0.8862
DJ502897,VD 竹制浴室柜 单镜门上墙 原色 一个一箱,ALL,AMAZON,C,T4A,91.02,42.23,70,-27.77,-0.3967,0.3967
DJ502919_2,US TA 双抽双顶咖啡桌 颜色->黑麻,ALL,AMAZON,B,T4B,108.48,44.26,70,-25.74,-0.3677,0.3677
DJ503995_1,US AG 火烧云PU软包 抽屉床 T 一件一箱 颜色->黑色,ALL,UNKNOWN,C,T4B,28.35,11.57,70,-58.43,-0.8348,0.8348
DJ504085_2,US 单人L高桌5布抽低价款 一件一箱 颜色->黑麻,ALL,WALMART,B,T4B,35.16,18.90,70,-51.10,-0.7299,0.7299
DJ504202_1,EU AG 板式床 软包掀盖靠背 4抽 欧洲床垫1.4*2m 一件两箱 颜色->白色,ALL,AMAZON,C,T4B,38.01,19.34,70,-50.66,-0.7237,0.7237
DJ504331_1,EU FR 三开门LED灯光铁木浴室镜柜 欧标插座2插孔+1U1T 一件一箱 颜色->白色,ALL,AMAZON,C,T4A,87.29,34.43,70,-35.57,-0.5082,0.5082
DJ504406_2,EU AG转角床 浅灰棉麻 床头可互换1.4*2m 2灯带 欧规2AC+2USB 一件两箱 颜色->白色,ALL,AMAZON,C,T4B,67.85,27.68,70,-42.32,-0.6045,0.6045
DJ504657_1,"US HA 书桌 VT05 5抽单压波浪纹加高梳妆台玻璃柜+七彩流光灯+插座 颜色->#1,原木色",ALL,AMAZON,C,T4B,41.02,22.05,70,-47.95,-0.6850,0.6850
DJ504860_1,EU AG 铁木软包转角床 0.9*2m 简约款拉网造型 一拖二灯带 欧规3U1T插排 一件一箱 颜色->深灰色,ALL,UNKNOWN,B,T4B,40.49,21.77,70,-48.23,-0.6891,0.6891
DJ504931_2,"US AE 书柜 NT30（原NT15） 三抽加高款带玻璃柜门加RGB灯带 一件一箱 颜色->#1,黑色麻面",ALL,TIKTOK,A,T4B,28.34,13.61,70,-56.39,-0.8056,0.8056
DJ504936_2,EU AG 气杆软包床 圆弧掀盖靠背 双灯带 棉麻 1.4*1.9m 颜色->米白,ALL,AMAZON,C,T4B,38.19,20.53,70,-49.47,-0.7067,0.7067
DJ505134_2,US SD 1.6米单人升降行政桌  一件两箱 颜色->黑麻+火烧云,ALL,UNKNOWN,C,T4B,47.69,19.46,70,-50.54,-0.7220,0.7220
DJ505170_2,US AG 翻盖布抽角落床 T 一件两箱 颜色->灰色,ALL,AMAZON,B,T4A,87.07,40.40,70,-29.60,-0.4229,0.4229
DJ505217_1,US DC 铁木床 BFH-02 X谷仓造型床尾部换鞋箱款- 902 Q 一件双箱 颜色->胡桃白,ALL,AMAZON,B,T4B,80.57,32.87,70,-37.13,-0.5304,0.5304
DJ505246_4,"US UA DK-XZ04 双拼色行政电脑桌一件两箱 颜色->#4,大理石（原4071 新洞洞板）",ALL,AMAZON,C,T3,125.37,126.54,70,56.54,0.8077,0.8077
