sku_code,sku_name,station,platform,abcd,profile_segment,blend_daily,system_daily,effective_daily,blend_monthly,system_monthly,effective_monthly,actual_monthly,actual_daily,version_no,version_status
DJVN000152_1,US WIN桌面八边形行政桌 一件两箱 颜色->棕色：大通元素DS66131,ALL,AMAZON,C,T4B,0.2852,0.1533,0.1533,8.84,4.75,4.75,43,1.3871,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000154_1,"US QZ 斜面三抽床头柜，带灯带，插座，一件一箱 尺码->#1,黑色水曲柳",ALL,AMAZON,D,T4B,1.6308,0.8767,0.8767,50.55,27.18,27.18,53,1.7097,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000154_1,"US QZ 斜面三抽床头柜，带灯带，插座，一件一箱 尺码->#1,黑色水曲柳",ALL,TEMU,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,3,0.0968,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000155_1,"US QZ 斜面两抽，顶部带抽屉床头柜，带灯带，插座，一件一箱 尺码->#1,黑色水曲柳",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000156_1,"US QZ 假拱形四门食品柜，一件一箱 尺码->#1,深橡木色",ALL,AMAZON,D,T4B,0.6500,0.3120,0.3120,20.15,9.67,9.67,81,2.6129,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000156_1,"US QZ 假拱形四门食品柜，一件一箱 尺码->#1,深橡木色",ALL,TEMU,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,3,0.0968,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000157_1,"US WIN 异形腿行政桌 一件一箱 颜色->山纹黑(DS6607) 颜色->黑色,山纹黑色",ALL,AMAZON,C,T4B,1.2297,0.6611,0.6611,38.12,20.49,20.49,148,4.7742,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000157_1,"US WIN 异形腿行政桌 一件一箱 颜色->山纹黑(DS6607) 颜色->黑色,山纹黑色",ALL,TEMU,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,1,0.0323,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000157_1,"US WIN 异形腿行政桌 一件一箱 颜色->山纹黑(DS6607) 颜色->黑色,山纹黑色",ALL,TIKTOK,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,2,0.0645,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000157_1,"US WIN 异形腿行政桌 一件一箱 颜色->山纹黑(DS6607) 颜色->黑色,山纹黑色",ALL,UNKNOWN,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,9,0.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000159_1,"US WIN 凹肩三抽柜 一件一箱 颜色 山纹黑(DS6607) 颜色->黑色,山纹黑色",ALL,TEMU,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,4,0.1290,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000160_1,"US WIN 凹肩五抽柜 一件一箱 颜色 山纹黑(DS6607) 颜色->黑色,山纹黑色",ALL,AMAZON,D,T4B,0.5088,0.2735,0.2735,15.77,8.48,8.48,0,0.0000,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000162_1,US WIN 四色五抽柜 一件一箱 颜色 浅色到深色 浮雕（E60176，E60176-1，E60176-2，E60176-3）,ALL,AMAZON,D,T4B,0.5571,0.2674,0.2674,17.27,8.29,8.29,3,0.0968,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000163_1,"US QZ 卧室书桌，一件一箱 尺码->#1,原橡木色",ALL,AMAZON,D,T4B,1.3571,0.6514,0.6514,42.07,20.19,20.19,76,2.4516,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000164_1,"US 组合三人位带脚蹬沙发 一件两箱 白色 尺码->#11,白色",ALL,AMAZON,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,3,0.0968,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000165_1,"US 藤编组合床头柜 一件一箱 原木色 尺码->#15,原木色",ALL,AMAZON,C,T4B,0.3786,0.1817,0.1817,11.74,5.63,5.63,82,2.6452,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000167_1,"US 藤编角落床头柜 一件一箱 原木色 尺码->#13,原木色",ALL,AMAZON,C,T4B,0.5929,0.2846,0.2846,18.38,8.82,8.82,59,1.9032,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000169_1,"US WIN L型斜抽升降桌 一件两箱 颜色->#2,棕色:元素H64154K",ALL,AMAZON,C,T4B,0.3681,0.1979,0.1979,11.41,6.13,6.13,39,1.2581,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000170_1,"US WIN 斜拼花纹农舍风L升降行政桌 一件两箱 颜色->#2,吉福Joyful 7 TP-JH2203 3DMB",ALL,AMAZON,C,T4B,0.8401,0.4516,0.4516,26.04,14.00,14.00,40,1.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000171_1,"US 圆弧玄关柜 一件一箱 胡桃木色 尺码->#11,胡桃木色 尺码->#2,胡桃木色",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,14,0.4516,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000171_1,"US 圆弧玄关柜 一件一箱 胡桃木色 尺码->#11,胡桃木色 尺码->#2,胡桃木色",ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,134,4.3226,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000172_1,"US WIN 单桌背后双开门升降桌 一件两箱 颜色->#2,棕色：大通E8034",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,6,0.1935,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000173_1,"US PIX Q折叠床垫 一件一箱 颜色->#3,LHA12513/75783",ALL,AMAZON,D,T4B,0.3857,0.1851,0.1851,11.96,5.74,5.74,78,2.5161,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000174_1,US PIX F折叠床垫 一件一箱 其他->#3,ALL,AMAZON,D,T4B,0.6857,0.3291,0.3291,21.26,10.20,10.20,102,3.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000175_1,US PIX T折叠床垫 一件一箱 颜色->#3,ALL,AMAZON,D,T4B,0.5643,0.2709,0.2709,17.49,8.40,8.40,41,1.3226,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000176_1,"US WIN 原木格栅换鞋凳+2门2抽款 一件一箱 颜色->#2,Joyful: J8130-7V 3DPM7",ALL,AMAZON,D,T4B,1.0429,0.5006,0.5006,32.33,15.52,15.52,36,1.1613,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000177_1,"US WIN 小款农舍烘焙架 一件一箱 颜色->#2,元素胡桃DS66108+农舍白G05256K",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,64,2.0645,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000178_1,"US 圆弧条方形床头柜 一件一箱 尺码->52,原木色",ALL,AMAZON,C,T4B,0.2643,0.1269,0.1269,8.19,3.93,3.93,55,1.7742,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000178_1,"US 圆弧条方形床头柜 一件一箱 尺码->52,原木色",ALL,TIKTOK,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,40,1.2903,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000179_1,"US 圆弧异型床头柜 原木色一件一箱  尺码->52,原木色",ALL,AMAZON,D,T4B,0.3143,0.1509,0.1509,9.74,4.68,4.68,85,2.7419,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000179_1,"US 圆弧异型床头柜 原木色一件一箱  尺码->52,原木色",ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,6,0.1935,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000179_1,"US 圆弧异型床头柜 原木色一件一箱  尺码->52,原木色",ALL,UNKNOWN,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,5,0.1613,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000180_1,"US 带玻璃床头柜 胡桃木色 一件一箱 尺码->52,胡桃木色",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,56,1.8065,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000181_1,"US 拱门床头柜 哑黑木纹 一件一箱 尺码->52,哑黑木纹",ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,61,1.9677,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000181_1,"US 拱门床头柜 哑黑木纹 一件一箱 尺码->52,哑黑木纹",ALL,TIKTOK,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,1,0.0323,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000182_1,"US 悬浮带玻璃床头柜 胡桃木色 一件一箱 尺码->52,胡桃木色",ALL,AMAZON,C,T4B,0.4857,0.2331,0.2331,15.06,7.23,7.23,120,3.8710,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000182_1,"US 悬浮带玻璃床头柜 胡桃木色 一件一箱 尺码->52,胡桃木色",ALL,TIKTOK,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,13,0.4194,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000183_1,US PIX 厨房岛台餐车 一件两箱包装 其他->#3,ALL,AMAZON,D,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,25,0.8065,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000184_1,"US WIN L型圆弧格栅升降桌 一件两箱 颜色->#2,大通元素B96005-204K4",ALL,AMAZON,C,T4B,0.4143,0.1989,0.1989,12.84,6.17,6.17,24,0.7742,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000186_1,"US 藤编玄关桌 原木色 一件一箱 尺码->52,原木色",ALL,TIKTOK,C,T99,0.0000,0.0000,0.0000,0.00,0.00,0.00,4,0.1290,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
DJVN000187_1,"US WIN 小八字胡换鞋凳 一件一箱 颜色->#2,吉福Joyful: J8130-7V 3DPM7",ALL,AMAZON,D,T4B,0.2643,0.1269,0.1269,8.19,3.93,3.93,26,0.8387,6 个月 · 全平台 · 全量 SKU · 2026-07-09,published
